id,code,name,percentage
l10n_pe_spot_code_001,001,"Azúcar y melaza de caña",10
l10n_pe_spot_code_002,002,"Arroz",0
l10n_pe_spot_code_003,003,"Alcohol etílico",10
l10n_pe_spot_code_004,004,"Recursos hidrobiológicos",4
l10n_pe_spot_code_005,005,"Maíz amarillo duro",0
l10n_pe_spot_code_006,006,"Algodón (Obsoleto)",0
l10n_pe_spot_code_007,007,"Caña de azúcar",10
l10n_pe_spot_code_008,008,"Madera",4
l10n_pe_spot_code_009,009,"Arena y piedra",10
l10n_pe_spot_code_010,010,"Residuos, subproductos, desechos, recortes y desperdicios",1.5
l10n_pe_spot_code_011,011,"Bienes gravados con el IGV, o renuncia a la exoneración",10
l10n_pe_spot_code_012,012,"Intermediación laboral y tercerización",12
l10n_pe_spot_code_013,013,"Animales vivos",0
l10n_pe_spot_code_014,014,"Carnes y despojos comestibles",4
l10n_pe_spot_code_015,015,"Abonos, cueros y pieles de origen animal",0
l10n_pe_spot_code_016,016,"Aceite de pescado",10
l10n_pe_spot_code_017,017,"Harina, polvo y “pellets” de pescado, crustáceos, moluscos y demás invertebrados acuáticos",4
l10n_pe_spot_code_018,018,"Embarcaciones pesqueras (Obsoleto)",0
l10n_pe_spot_code_019,019,"Arrendamiento de bienes muebles",10
l10n_pe_spot_code_020,020,"Mantenimiento y reparación de bienes muebles",12
l10n_pe_spot_code_021,021,"Movimiento de carga",10
l10n_pe_spot_code_022,022,"Otros servicios empresariales",12
l10n_pe_spot_code_023,023,"Leche",4
l10n_pe_spot_code_024,024,"Comisión mercantil",10
l10n_pe_spot_code_025,025,"Fabricación de bienes por encargo",10
l10n_pe_spot_code_026,026,"Servicio de transporte de personas",10
l10n_pe_spot_code_027,027,"Servicio de transporte de carga",0
l10n_pe_spot_code_028,028,"Transporte de pasajeros",0
l10n_pe_spot_code_029,029,"Algodón en rama sin desmontar (Obsoleto)",0
l10n_pe_spot_code_030,030,"Contratos de construcción",4
l10n_pe_spot_code_031,031,"Oro gravado con el IGV",10
l10n_pe_spot_code_032,032,"Páprika y otros frutos de los géneros capsicum o pimienta",10
l10n_pe_spot_code_033,033,"Espárragos (Obsoleto)",0
l10n_pe_spot_code_034,034,"Minerales metálicos no auríferos",10
l10n_pe_spot_code_035,035,"Bienes exonerados del IGV",1.5
l10n_pe_spot_code_036,036,"Oro y demás minerales metálicos exonerados del IGV",1.5
l10n_pe_spot_code_037,037,"Demás servicios gravados con el IGV",12
l10n_pe_spot_code_039,039,"Minerales no metálicos",10
l10n_pe_spot_code_040,040,"Bien inmueble gravado con IGV",0
l10n_pe_spot_code_041,041,"Plomo",1.5
l10n_pe_spot_code_099,099,"Ley 30737",0